State_Name,Zone
Punjab,North
Haryana,North
Uttar Pradesh,North
Uttarakhand,North
Himachal Pradesh,North
Jammu and Kashmir,North
Puducherry,South
Andhra Pradesh,South
Tamil Nadu,South
Telangana,South
Karnataka,South
Kerala,South
Andaman and Nicobar Islands,South
Gujarat,West
Goa,West
Dadra and Nagar Haveli,West
Rajasthan,West
Maharashtra,West
West Bengal,East
Bihar,East
Sikkim,East
Jharkhand,East
Odisha,East
Nagaland,Northeast
Tripura,Northeast
Arunachal Pradesh,Northeast
Meghalaya,Northeast
Mizoram,Northeast
Manipur,Northeast
Assam,Northeast
Madhya Pradesh,Central
Chhattisgarh,Central
